strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
Fruit Cooler,Non alcoholic,Other/Unknown,Highball Glass,Apple juice Strawberries Sugar Lemon Apple Soda water Ice        ,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
Fruit Flip-Flop,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Fruit juice             ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Fruit Shake,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Banana Orange juice Fruit Ice          ,Blend til smooth.
Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee mug,Coffee Peach schnapps             ,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
GG,Optional alcohol,Ordinary Drink,Collins Glass,Galliano Ginger ale Ice            ,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
Gagliardo,Alcoholic,Cocktail,Cocktail glass,Peach Vodka Lemon juice Galliano Sirup of roses           ,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
Gentleman's Club,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Brandy Sweet Vermouth Club soda           ,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Gideon's Green Dinosaur,Alcoholic,Ordinary Drink,Collins glass,Dark rum Vodka Triple sec Tequila Melon liqueur Mountain Dew         ,Add all ingredients in collins glass with ice and stir.
Gin And Tonic,Alcoholic,Ordinary Drink,Highball glass,Gin Tonic water Lime            ,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.
Gin Cooler,Alcoholic,Ordinary Drink,Collins glass,Gin Carbonated water Powdered sugar Orange spiral Lemon peel          ,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
Gin Daisy,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Lemon juice Sugar Grenadine Maraschino cherry Orange         ,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,Gin Lemon Powdered sugar Carbonated water           ,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
Gin Rickey,Alcoholic,Cocktail,Highball glass,Gin Grenadine lemon Soda Water Lime          ,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
Gin Sling,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Lemon Powdered sugar Water Orange peel          ,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
Gin Smash,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Carbonated water Sugar Mint Orange Cherry         ,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
Gin Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Gin Lemon juice Sugar Orange Maraschino cherry          ,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Gin Squirt,Alcoholic,Ordinary Drink,Highball glass,Gin Grenadine Powdered sugar Pineapple Strawberries Carbonated water         ,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
Gin Swizzle,Alcoholic,Ordinary Drink,Highball glass,Lime juice Sugar Gin Bitters Club soda          ,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
Gin Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Water Powdered sugar Lemon peel           ,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
Girl From Ipanema,Alcoholic,Ordinary Drink,Wine Glass,Cachaca Lemon Juice Agave Syrup Champagne           ,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne"
Gluehwein,Optional alcohol,Punch / Party Drink,Irish coffee cup,Red wine Water Sugar Cinnamon Cloves Lemon peel         ,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Godchild,Alcoholic,Ordinary Drink,Champagne flute,Vodka Amaretto Heavy cream            ,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
Godfather,Alcoholic,Ordinary Drink,Old-fashioned glass,Scotch Amaretto             ,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
Godmother,Alcoholic,Ordinary Drink,Old-fashioned glass,Vodka Amaretto             ,Pour vodka and amaretto into an old-fashioned glass over ice and serve.
Golden dream,Alcoholic,Ordinary Drink,Cocktail glass,Galliano Triple Sec orange juice Cream           ,Shake with cracked ice. Strain into glass and serve.
Grand Blue,Alcoholic,Ordinary Drink,Old-fashioned glass,Malibu rum Peach schnapps Blue Curacao Sweet and sour           ,Serve in an old fashioned glass.
Grape lemon pineapple Smoothie,Non alcoholic,Other/Unknown,Highball glass,Grapes Lemon Pineapple            ,Throw everything into a blender and liquify.
Grass Skirt,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Triple sec Pineapple juice Grenadine Pineapple          ,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
Grasshopper,Alcoholic,Ordinary Drink,Cocktail glass,Green Creme de Menthe Creme de Cacao Light cream            ,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
Green Goblin,Alcoholic,Beer,Pint glass,Cider Lager Blue Curacao            ,"Cider First, Lager then Curacao"
Grim Reaper,Alcoholic,Ordinary Drink,Old-fashioned glass,Kahlua 151 proof rum Grenadine            ,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
Grizzly Bear,Alcoholic,Ordinary Drink,Collins Glass,Amaretto Jägermeister Kahlua Milk           ,"Served over ice. Sounds nasty, but tastes great."
H.D.,Alcoholic,Coffee / Tea,Beer mug,Whisky Bailey's irish cream Coffee            ,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
Happy Skipper,Alcoholic,Ordinary Drink,Highball glass,Spiced rum Ginger ale Lime Ice           ,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
Harvey Wallbanger,Alcoholic,Ordinary Drink,Collins glass,Vodka Galliano Orange juice            ,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
Havana Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Pineapple juice Lemon juice            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Hawaiian Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Gin Triple sec Pineapple juice            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Hemingway Special,Alcoholic,Ordinary Drink,Cocktail glass,Rum Grapefruit Juice Maraschino Liqueur Lime Juice           ,Pour all ingredients into a shaker with ice. Shake.
Herbal flame,Alcoholic,Coffee / Tea,Mason jar,Hot Damn Tea             ,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
Highland Fling Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Sweet Vermouth Orange bitters Olive           ,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
Holloween Punch,Non alcoholic,Punch / Party Drink,Punch bowl,Grape juice Carbonated soft drink Sherbet Sherbet           ,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
Homemade Kahlua,Alcoholic,Homemade Liqueur,Collins Glass,Sugar Corn syrup Coffee Vanilla extract Water Vodka         ,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
Horse's Neck,Alcoholic,Ordinary Drink,Highball glass,Lemon peel Brandy Ginger ale Bitters           ,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
Hot Chocolate to Die for,Non alcoholic,Cocoa,Coffee mug,Chocolate Butter Vanilla extract Half-and-half Marshmallows          ,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Hot Creamy Bush,Alcoholic,Coffee / Tea,Irish coffee cup,Irish whiskey Bailey's irish cream Coffee            ,Combine all ingredients in glass
Ice Pick #1,Alcoholic,Ordinary Drink,Collins Glass,Vodka Iced tea Lemon juice            ,Put Vodka in glass fill with iced tea. Stir in lemon to taste.
Iced Coffee,Non alcoholic,Coffee / Tea,Coffee mug,Coffee Sugar Water Milk           ,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
Iced Coffee Fillip,Alcoholic,Coffee / Tea,Coffee mug,Kahlua Coffee             ,Mix together in a coffee mug and chill before serving.
Imperial Cocktail,Alcoholic,Cocktail,Cocktail glass,Lime juice Gin Aperol            ,Shake with ice and strain into cocktail glass.
Imperial Fizz,Alcoholic,Ordinary Drink,Highball glass,Light rum Blended whiskey Lemon Powdered sugar Carbonated water          ,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Ipamena,Non Alcoholic,Ordinary Drink,Wine Glass,Lime Brown sugar Passion fruit juice Ginger ale Ice          ,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
Irish Coffee,Alcoholic,Coffee / Tea,Irish coffee cup,Irish whiskey Coffee Sugar Whipped cream           ,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
Irish Cream,Alcoholic,Homemade Liqueur,Irish coffee cup,Scotch Half-and-half Condensed milk Coconut syrup Chocolate syrup          ,Mix scotch and milk. Add half-and-half. Add rest.
Irish Curdling Cow,Alcoholic,Cocktail,Highball glass,Bailey's irish cream Bourbon Vodka Orange juice           ,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Irish Russian,Alcoholic,Beer,Highball glass,Vodka Kahlua Coca-Cola Guinness stout           ,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
Irish Spring,Alcoholic,Ordinary Drink,Collins glass,Irish whiskey Peach brandy Orange juice Sweet and sour Orange Cherry         ,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
Jack Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Apple brandy Grenadine Lime            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Jack's Vanilla Coke,Alcoholic,Other/Unknown,Old-fashioned glass,Ice Tennessee whiskey Vanilla extract Coca-Cola           ,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
Jackhammer,Alcoholic,Ordinary Drink,Collins Glass,Jack Daniels Amaretto             ,"Serve over ice- Warning,Deadly!"
Jam Donut,Alcoholic,Shot,Shot glass,Baileys irish cream Chambord raspberry liqueur Sugar syrup Sugar           ,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
Jamaica Kiss,Alcoholic,Milk / Float / Shake,Hurricane glass,Coffee liqueur Light rum Ice Milk           ,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
Jamaican Coffee,Alcoholic,Coffee / Tea,Champagne flute,Rum Coffee Water Whipped cream           ,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
Japanese Fizz,Alcoholic,Ordinary Drink,Highball glass,Blended whiskey Lemon Powdered sugar Port Egg white Carbonated water         ,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Jello shots,Alcoholic,Shot,Shot glass,Vodka Jello Water            ,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
Jelly Bean,Alcoholic,Shot,Cordial glass,Blackberry brandy Anis             ,mix equal parts in pony glass-tastes just like a jelly bean!
Jewel Of The Nile,Alcoholic,Ordinary Drink,Cocktail glass,Gin Green Chartreuse Yellow Chartreuse            ,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Jitterbug,Alcoholic,Cocktail,Cocktail Glass,Gin Vodka Grenadine Lime juice Sugar Sugar syrup Soda water        ,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
John Collins,Alcoholic,Ordinary Drink,Collins glass,Bourbon Lemon juice Sugar Club soda Maraschino cherry Orange         ,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
Just a Moonmint,Non alcoholic,Milk / Float / Shake,Highball Glass,Milk Chocolate syrup Mint syrup            ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Kamikaze,Alcoholic,Ordinary Drink,Cocktail glass,Vodka Triple sec Lime juice            ,"Shake all ingredients together with ice. Strain into glass, garnish and serve."
Karsk,Alcoholic,Ordinary Drink,Highball glass,Coffee Grain alcohol             ,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
Kentucky B And B,Alcoholic,Ordinary Drink,Brandy snifter,Bourbon Benedictine             ,Pour the bourbon and Benedictine into a brandy snifter.
Kentucky Colonel,Alcoholic,Ordinary Drink,Cocktail glass,Bourbon Benedictine Lemon peel            ,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
Kill the cold Smoothie,Non alcoholic,Other/Unknown,Highball glass,Ginger Lemon Water            ,Juice ginger and lemon and add it to hot water. You may add cardomom.
Kioki Coffee,Alcoholic,Coffee / Tea,Coffee mug,Kahlua Brandy Coffee            ,Stir. Add whipped cream to the top.
Kir,Alcoholic,Ordinary Drink,Wine Glass,Creme de Cassis Champagne             ,"Add the crème de cassis to the bottom of the glass, then top up with wine."
Kir Royale,Alcoholic,Ordinary Drink,Champagne Flute,Creme de Cassis Champagne             ,"Pour Creme de cassis in glass, gently pour champagne on top"
Kiss me Quick,Alcoholic,Ordinary Drink,Highball glass,Cranberry vodka Apfelkorn Schweppes Russchian Apple juice Ice          ,mix in the glass
Kiwi Lemon,Alcoholic,Ordinary Drink,Highball glass,Kiwi liqueur Bitter lemon Ice            ,Mix in highball glass. Stirr. Garnish with slice of kiwi.
Kiwi Papaya Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Kiwi Papaya             ,Throw everything into a blender and liquify.
Kool First Aid,Alcoholic,Shot,Shot glass,151 proof rum Kool-Aid             ,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
Kool-Aid Shot,Alcoholic,Shot,Old-fashioned glass,Vodka Amaretto Sloe gin Triple sec Cranberry juice          ,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
Kool-Aid Slammer,Alcoholic,Shot,Shot glass,Kool-Aid Vodka             ,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
Kurant Tea,Alcoholic,Coffee / Tea,Champagne flute,Absolut Kurant Tea Sugar            ,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
Lady Love Fizz,Alcoholic,Ordinary Drink,Cocktail glass,Gin Light cream Powdered sugar Lemon Egg white Carbonated water         ,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
Lassi - A South Indian Drink,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Water Cumin seed Salt Mint          ,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
Lassi - Mango,Non alcoholic,Other/Unknown,Highball glass,Mango Yoghurt Sugar Water           ,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
Lassi - Sweet,Non alcoholic,Other/Unknown,Highball glass,Yoghurt Water Sugar Salt Lemon juice          ,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
Lassi Khara,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Water Salt Asafoetida           ,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
Lassi Raita,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Ice Sugar Lime Salt          ,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
Lemon Drop,Alcoholic,Cocktail,Cocktail glass,Absolut Vodka Cointreau Lemon            ,Shake and strain into a chilled cocktail glass rimmed with sugar.
Lemon Shot,Alcoholic,Shot,Shot glass,Galliano Absolut Citron Lemon Sugar 151 proof rum          ,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
Lemouroudji,Non alcoholic,Other/Unknown,Highball Glass,Ginger Water Lemon Sugar Cayenne pepper          ,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
Limeade,Non alcoholic,Other/Unknown,Highball glass,Lime Sugar Soda water Lime peel           ,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
Limona Corona,Alcoholic,Beer,Beer Glass,Corona Bacardi Limon             ,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
Loch Lomond,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Drambuie Dry Vermouth Lemon peel           ,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
London Town,Alcoholic,Ordinary Drink,Cocktail glass,Gin Maraschino liqueur Orange bitters            ,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Lone Tree Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Gin             ,"Stir ingredients with ice, strain into a cocktail glass, and serve."
Lone Tree Cooler,Alcoholic,Ordinary Drink,Collins glass,Carbonated water Gin Dry Vermouth Powdered sugar Orange spiral Lemon peel         ,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
Long Island Iced Tea,Alcoholic,Ordinary Drink,Highball glass,Vodka Tequila Light rum Gin Coca-Cola Lemon peel         ,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
Long Island Tea,Alcoholic,Ordinary Drink,Highball glass,Vodka Light rum Gin Tequila Lemon Coca-Cola         ,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
Long vodka,Alcoholic,Ordinary Drink,Highball glass,Vodka Lime Angostura bitters Tonic water Ice          ,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
Lord And Lady,Alcoholic,Ordinary Drink,Old-fashioned glass,Dark rum Tia maria             ,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
Lunch Box,Alcoholic,Beer,Pint glass,Beer Amaretto Orange juice            ,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
Mai Tai,Alcoholic,Ordinary Drink,Collins glass,Light rum Orgeat syrup Triple sec Sweet and sour Cherry          ,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
Malibu Twister,Alcoholic,Cocktail,Highball glass,Malibu rum Tropicana Cranberry juice            ,"Add rum & trister then, add cranberry jucie,stir"
Mango Orange Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Mango Orange             ,Throw everything into a blender and liquify.
Manhattan,Alcoholic,Cocktail,Cocktail glass,Sweet Vermouth Bourbon Angostura bitters Ice Maraschino cherry Orange peel         ,"Stirred over ice, strained into a chilled glass, garnished, and served up."
Margarita,Alcoholic,Ordinary Drink,Cocktail glass,Tequila Triple sec Lime juice Salt           ,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Martinez Cocktail,Alcoholic,Cocktail,Cocktail glass,Gin Dry Vermouth Triple sec Orange bitters Cherry          ,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Martini,Alcoholic,Cocktail,Cocktail glass,Gin Dry Vermouth Olive            ,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Mary Pickford,Alcoholic,Cocktail,Cocktail glass,Light rum Pineapple juice Maraschino liqueur Grenadine Maraschino cherry          ,Shake and strain into a chilled large cocktail glass
Masala Chai,Non alcoholic,Coffee / Tea,Coffee Mug,Water Tea Ginger Cardamom Cloves Cinnamon Black pepper Sugar Milk      ,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
Melya,Non alcoholic,Coffee / Tea,Coffee mug,Espresso Honey Cocoa powder            ,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
Miami Vice,Alcoholic,Cocktail,Cocktail glass,151 proof rum Pina colada mix Daiquiri mix            ,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Microwave Hot Cocoa,Non alcoholic,Cocoa,Coffee mug,Sugar Cocoa powder Salt Water Milk Vanilla extract         ,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well."
Midnight Cowboy,Alcoholic,Ordinary Drink,Cocktail glass,Bourbon Dark rum Heavy cream            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Midnight Manx,Alcoholic,Ordinary Drink,Old-fashioned glass,Kahlua Bailey's irish cream Goldschlager Heavy cream Coffee          ,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
Midnight Mint,Alcoholic,Cocktail,Cocktail glass,Bailey's irish cream White Creme de Menthe Cream            ,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mimosa,Alcoholic,Ordinary Drink,Champagne flute,Champagne Orange juice             ,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Mississippi Planters Punch,Alcoholic,Ordinary Drink,Collins glass,Brandy Light rum Bourbon Lemon Powdered sugar Carbonated water         ,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve."
Mocha-Berry,Alcoholic,Coffee / Tea,Irish coffee cup,Coffee Chambord raspberry liqueur Cocoa powder Whipped cream           ,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
Mojito,Alcoholic,Cocktail,Highball glass,Light rum Lime Sugar Mint Soda water          ,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mojito #3,Alcoholic,Cocktail,Collins glass,Mint Lemon juice Dark rum Club soda Angostura bitters          ,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Monkey Gland,Alcoholic,Ordinary Drink,Cocktail glass,Gin Benedictine Orange juice Grenadine           ,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
Monkey Wrench,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Grapefruit juice Bitters            ,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
Moranguito,Alcoholic,Shot,Shot glass,Absinthe Tequila Grenadine            ,"first you put rhe absinthe, then put tequila, then put the Granadine syrup."
Moscow Mule,Alcoholic,Punch / Party Drink,Copper Mug,Vodka Lime juice Ginger ale            ,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mother's Milk,Alcoholic,Shot,Shot glass,Goldschlager Butterscotch schnapps Milk            ,"Shake over ice, strain. Serves two."
Mudslinger,Alcoholic,Punch / Party Drink,Punch bowl,Southern Comfort Orange juice Pepsi Cola            ,Add all contents to a large jug or punch bowl. Stir well!
