strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
Gin Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg,Whiskey sour glass,Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Gin Squirt,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Highball glass,Gin,1 1/2 oz ,Grenadine,1 tsp ,Powdered sugar,1 tblsp ,Pineapple,3 chunks ,Strawberries,2,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
Gin Swizzle,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Highball glass,Lime juice,1 1/2 oz ,Sugar,1 tsp superfine ,Gin,2 oz ,Bitters,1 dash ,Club soda,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
Gin Toddy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,Old-fashioned glass,Gin,2 oz ,Water,2 tsp ,Powdered sugar,1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
Girl From Ipanema,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,Cachaca,25 ml,Lemon Juice,15 ml,Agave Syrup,10 ml,Champagne,top up with,,,,,,,,,,,,,,,,,,,,,,,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne"
Gluehwein,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,Red wine,1 L ,Water,125 ml ,Sugar,60 gr ,Cinnamon,1,Cloves,3,Lemon peel,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Godchild,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,Vodka,1 oz ,Amaretto,1 oz ,Heavy cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
Godfather,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Old-fashioned glass,Scotch,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
Godmother,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,Old-fashioned glass,Vodka,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour vodka and amaretto into an old-fashioned glass over ice and serve.
Golden dream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,Cocktail glass,Galliano,2 parts,Triple Sec,2 parts,orange juice,2 parts,Cream,1 part,, ,, ,, ,, ,, ,,,,,,,,,,,,,Shake with cracked ice. Strain into glass and serve.
Grand Blue,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,Malibu rum,1 1/2 cl ,Peach schnapps,1 1/2 cl ,Blue Curacao,1 1/2 cl ,Sweet and sour,3 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Serve in an old fashioned glass.
Grape lemon pineapple Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,Grapes,1 cup ,Lemon,4-Jan,Pineapple,2-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Throw everything into a blender and liquify.
Grass Skirt,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,Gin,1 1/2 oz ,Triple sec,1 oz ,Pineapple juice,1 oz ,Grenadine,1/2 tsp ,Pineapple,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
Grasshopper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Green Creme de Menthe,3/4 oz ,Creme de Cacao,3/4 oz white ,Light cream,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
Green Goblin,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,Cider,1/2 pint hard ,Lager,1/2 pint ,Blue Curacao,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Cider First, Lager then Curacao"
Grim Reaper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,Kahlua,1 oz ,151 proof rum,1 oz Bacardi ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
Grizzly Bear,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,Amaretto,1 part ,Jägermeister,1 part ,Kahlua,1 part ,Milk,2 1/2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Served over ice. Sounds nasty, but tastes great."
H.D.,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,Whisky,4 cl ,Bailey's irish cream,8 cl ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
Happy Skipper,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,Spiced rum,1 1/2 cl ,Ginger ale,"
",Lime,"
",Ice,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
Harvey Wallbanger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,Vodka,1 oz ,Galliano,1/2 oz ,Orange juice,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
Havana Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,Light rum,1 oz ,Pineapple juice,1 oz ,Lemon juice,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Hawaiian Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,Gin,2 oz ,Triple sec,1/2 oz ,Pineapple juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Hemingway Special,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Rum,12 parts,Grapefruit Juice,8 parts,Maraschino Liqueur,3 parts,Lime Juice,3 parts,, ,, ,, ,, ,, ,,,,,,,,,,,,,Pour all ingredients into a shaker with ice. Shake.
Herbal flame,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,Hot Damn,5 shots ,Tea,very sweet ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
Highland Fling Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,Scotch,1 1/2 oz ,Sweet Vermouth,3/4 oz ,Orange bitters,2 dashes ,Olive,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
Holloween Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,Grape juice,"
",Carbonated soft drink,", orange
",Sherbet, ,Sherbet, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
Homemade Kahlua,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,Sugar,2 1/2 cups ,Corn syrup,1 cup ,Coffee,1 1/2 oz instant ,Vanilla extract,2 oz ,Water,3 cups boiling ,Vodka,1 fifth ,, ,, ,, ,, ,, ,,,,,,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
Horse's Neck,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,Lemon peel,1 long strip ,Brandy,2 oz ,Ginger ale,5 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
Hot Chocolate to Die for,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,Chocolate,12 oz fine ,Butter,1 tsp ,Vanilla extract,1/2 tsp ,Half-and-half,1 cup ,Marshmallows,mini ,, ,, ,, ,, ,, ,,,,,,,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Hot Creamy Bush,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,Irish whiskey,1 shot ,Bailey's irish cream,3/4 shot ,Coffee,6 oz hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Combine all ingredients in glass
Ice Pick #1,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,Vodka,1 1/2 oz ,Iced tea,6 oz ,Lemon juice," to taste
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.
Iced Coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,Coffee,1/4 cup instant ,Sugar,1/4 cup ,Water,1/4 cup hot ,Milk,4 cups cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
Iced Coffee Fillip,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,Kahlua,2 tsp ,Coffee,Strong cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Mix together in a coffee mug and chill before serving.
Imperial Cocktail,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,Lime juice,4 cl ,Gin,2 cl ,Aperol,4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Shake with ice and strain into cocktail glass.
Imperial Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,Light rum,1/2 oz ,Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Ipamena,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,Lime,½,Brown sugar,2 tsp,Passion fruit juice,4 cl,Ginger ale,top up with,Ice,fill,,,,,,,,,,,,,,,,,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
Irish Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Irish whiskey,1 1/2 oz ,Coffee,8 oz ,Sugar,1 tsp ,Whipped cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
Irish Cream,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,Scotch,1 cup ,Half-and-half,1 1/4 cup ,Condensed milk,1 can sweetened ,Coconut syrup,3 drops ,Chocolate syrup,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,Mix scotch and milk. Add half-and-half. Add rest.
Irish Curdling Cow,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,Bailey's irish cream,3/4 oz ,Bourbon,3/4 oz ,Vodka,3/4 oz ,Orange juice,2-3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Irish Russian,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,Vodka,1 shot ,Kahlua,1 shot ,Coca-Cola,1 dash ,Guinness stout,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
Irish Spring,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,Irish whiskey,1 oz ,Peach brandy,1/2 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,Orange,1 slice ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
Jack Rose Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,Apple brandy,1 1/2 oz ,Grenadine,1 tsp ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Jack's Vanilla Coke,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,Ice,5-Apr,Tennessee whiskey,2 oz ,Vanilla extract,1 tsp ,Coca-Cola,10-12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
Jackhammer,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,Jack Daniels,1 oz ,Amaretto,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Serve over ice- Warning,Deadly!"
Jam Donut,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,Baileys irish cream,2/3 oz,Chambord raspberry liqueur,1/3 oz,Sugar syrup,1 tsp,Sugar,2 pinches,,,,,,,,,,,,,,,,,,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
Jamaica Kiss,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,Coffee liqueur,1 shot ,Light rum,1 shot Jamaican ,Ice," cubes
",Milk,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
Jamaican Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,Rum,1/6 glass ,Coffee,1/6 glass strong black ,Water,1/2 glass cold ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
Japanese Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Port,1 tblsp ,Egg white,1,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Jello shots,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,Vodka,2 cups ,Jello,3 packages ,Water,3 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
Jelly Bean,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,Blackberry brandy,1 oz ,Anis,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!
Jewel Of The Nile,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,Gin,1 1/2 oz ,Green Chartreuse,1/2 oz ,Yellow Chartreuse,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Jitterbug,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,Gin,2 jiggers ,Vodka,1 jigger ,Grenadine,3 dashes ,Lime juice,1 shot ,Sugar,Around rim put 1 pinch ,Sugar syrup,3 dashes ,Soda water,Fill to top with ,, ,, ,, ,, ,, ,,,,,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
John Collins,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1,Orange,1,, ,, ,, ,, ,, ,,,,,,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
Just a Moonmint,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,Milk,2 cups ,Chocolate syrup,"
",Mint syrup,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Kamikaze,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,Vodka,1 oz ,Triple sec,1 oz ,Lime juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve."
Karsk,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,Coffee,1 part ,Grain alcohol,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
Kentucky B And B,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,Bourbon,2 oz ,Benedictine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.
Kentucky Colonel,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,Bourbon,3 oz ,Benedictine,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
Kill the cold Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,Ginger,1 inch ,Lemon,4-Jan,Water,1 cup hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.
Kioki Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee mug,Kahlua,1 oz ,Brandy,1/2 oz ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Stir. Add whipped cream to the top.
Kir,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,Creme de Cassis,1 part ,Champagne,5 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Add the crème de cassis to the bottom of the glass, then top up with wine."
Kir Royale,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,Creme de Cassis,1 part ,Champagne,5 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour Creme de cassis in glass, gently pour champagne on top"
Kiss me Quick,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball glass,Cranberry vodka,4 cl ,Apfelkorn,2 cl ,Schweppes Russchian,7 cl ,Apple juice,8 cl ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,mix in the glass
Kiwi Lemon,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball glass,Kiwi liqueur,1 part ,Bitter lemon,2 parts ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Mix in highball glass. Stirr. Garnish with slice of kiwi.
Kiwi Papaya Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,Kiwi,3,Papaya,2-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Throw everything into a blender and liquify.
Kool First Aid,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,151 proof rum,2 oz light ,Kool-Aid,1/2 tsp Tropical ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
Kool-Aid Shot,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned glass,Vodka,1 shot ,Amaretto,1 shot ,Sloe gin,1 shot ,Triple sec,1 shot ,Cranberry juice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
Kool-Aid Slammer,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,Kool-Aid,1/2 oz Grape ,Vodka,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
Kurant Tea,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne flute,Absolut Kurant,4 cl ,Tea,Turkish apple ,Sugar," (if needed)
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
Lady Love Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Cocktail glass,Gin,2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Lemon,Juice of 1/2 ,Egg white,1,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
Lassi - A South Indian Drink,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,Yoghurt,1/2 cup plain ,Water,1 1/4 cup cold ,Cumin seed,1/2 tsp ground roasted ,Salt,1/4 tsp ,Mint,1/4 tsp dried ,, ,, ,, ,, ,, ,,,,,,,,,,,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
Lassi - Mango,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Highball glass,Mango,2,Yoghurt,2 cups ,Sugar,1/2 cup ,Water,1 cup iced ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
